Stage Name;stageCost;relDepth;stageClassification;avgDemand;stdDevDemand;maxServiceTime;serviceLevel;stageTime;stdDev stageTime;stageTime_1;stageTime_%_1;stageTime_2;stageTime_%_2;stageTime_3;stageTime_%_3;stageTime_4;stageTime_%_4;stageTime_5;stageTime_%_5;stageTime_6;stageTime_%_6;xPosition;yPosition
Dist_0001;$0,06 ;5;Dist;;;;;9,50;0,50;9;50%;10;50%;;;;;;;;;320;224
Dist_0002;$0,06 ;5;Dist;;;;;9,50;0,50;9;50%;10;50%;;;;;;;;;320;288
Dist_0003;$0,06 ;5;Dist;;;;;9,50;0,50;9;50%;10;50%;;;;;;;;;320;352
Dist_0004;$0,06 ;5;Dist;;;;;9,50;0,50;9;50%;10;50%;;;;;;;;;320;416
Dist_0005;$0,06 ;5;Dist;;;;;9,50;0,50;9;50%;10;50%;;;;;;;;;320;480
Dist_0006;$0,06 ;5;Dist;;;;;9,50;0,50;9;50%;10;50%;;;;;;;;;320;544
Dist_0007;$0,08 ;5;Dist;;;;;9,50;0,50;9;50%;10;50%;;;;;;;;;320;608
Dist_0008;$0,08 ;5;Dist;;;;;9,50;0,50;9;50%;10;50%;;;;;;;;;320;672
Dist_0009;$0,60 ;1;Dist;;;;;4,00;;;;;;;;;;;;;;800;320
Dist_0010;$0,60 ;1;Dist;;;;;4,00;;;;;;;;;;;;;;800;448
Manuf_0001;$9,45 ;4;Manuf;;;;;1,00;;;;;;;;;;;;;;496;320
Manuf_0002;$9,45 ;4;Manuf;;;;;1,00;;;;;;;;;;;;;;496;448
Manuf_0003;$1,28 ;2;Manuf;;;;;2,74;0,86;1;9%;2;24%;3;52%;4;14%;5;1%;7;0%;704;320
Manuf_0004;$1,28 ;2;Manuf;;;;;2,74;0,86;1;9%;2;24%;3;52%;4;14%;5;1%;7;0%;704;448
Part_0001;$3,25 ;7;Part;;;;;42,50;2,50;1;50%;45;50%;;;;;;;;;48;224
Part_0002;$11,96 ;7;Part;;;;;40,00;;;;;;;;;;;;;;48;288
Part_0003;$2,16 ;7;Part;;;;;17,50;2,50;15;50%;20;50%;;;;;;;;;48;352
Part_0004;$10,14 ;7;Part;;;;;38,00;4,00;30;20%;40;80%;;;;;;;;;48;416
Part_0005;$2,90 ;7;Part;;;;;17,50;2,50;15;50%;20;50%;;;;;;;;;48;480
Part_0006;$7,71 ;7;Part;;;;;40,00;0,00;40;100%;;;;;;;;;;;48;544
Part_0007;$5,45 ;7;Part;;;;;17,50;2,50;15;50%;20;50%;;;;;;;;;48;608
Part_0008;$6,60 ;7;Part;;;;;40,00;0,00;40;100%;;;;;;;;;;;48;672
Part_0009;$41,75 ;6;Part;;;;;40,00;;;;;;;;;;;;;;192;96
Part_0010;$8,20 ;6;Part;;;;;42,50;2,50;40;50%;45;50%;;;;;;;;;192;160
Part_0011;$6,34 ;5;Part;;;;;32,50;2,50;30;50%;35;50%;;;;;;;;;320;32
Part_0012;$4,03 ;5;Part;;;;;37,50;2,50;35;50%;40;50%;;;;;;;;;320;736
Retail_0001;$0,00 ;0;Retail;653,50;849,55;5;95%;5,00;;;;;;;;;;;;;;912;320
Retail_0002;$0,00 ;0;Retail;882,25;1279,26;5;0,95;5,00;;;;;;;;;;;;;;912;448
Trans_0001;$0,34 ;6;Trans;;;;;8,80;1,47;7;40%;10;60%;;;;;;;;;192;224
Trans_0002;$0,34 ;6;Trans;;;;;4,00;0,00;4;100%;;;;;;;;;;;192;288
Trans_0003;$0,34 ;6;Trans;;;;;4,00;;;;;;;;;;;;;;192;352
Trans_0004;$0,34 ;6;Trans;;;;;6,00;;;;;;;;;;;;;;192;416
Trans_0005;$0,34 ;6;Trans;;;;;4,00;;;;;;;;;;;;;;192;480
Trans_0006;$0,34 ;6;Trans;;;;;6,00;;;;;;;;;;;;;;192;544
Trans_0007;$0,34 ;6;Trans;;;;;6,00;;;;;;;;;;;;;;192;608
Trans_0008;$0,34 ;6;Trans;;;;;4,00;;;;;;;;;;;;;;192;672
Trans_0009;$0,34 ;5;Trans;;;;;2,20;0,40;2;80%;3;20%;;;;;;;;;320;96
Trans_0010;$0,34 ;5;Trans;;;;;2,40;0,49;2;60%;3;40%;;;;;;;;;320;160
Trans_0011;$0,34 ;3;Trans;;;;;17,50;0,50;17;50%;18;50%;;;;;;;;;608;320
Trans_0012;$0,34 ;3;Trans;;;;;17,50;0,50;17;50%;18;50%;;;;;;;;;608;448
