Category;Metric;value
Cardinalities;# Rows;5.000,0000
Cardinalities;# Null Values;0,0000
Cardinalities;% Null Values;0,0000
Cardinalities;Cardinality;455,0000
Cardinalities;Uniqueness;9,1000
Data type info;Data type;Numeric
Data type info;Minimum;-6,3743
Data type info;Maximum;5,3937
Data type info;Average;-0,0954
Data type info;Median;0,0000
Data type info;# Digits;1,0000
Data type info;# Decimals;14,0000
Histogram;# Classes;14,0000
Histogram;Class range;0,8406
Histogram;Values;[260, 481, 21, 3, 108, 40, 210, 234, 1, 558, 74, 63, 2941, 6]
Dependencies;isCandidateKey;false
