Category;Metric;date;actual_mean_temp;actual_min_temp;actual_max_temp;average_min_temp;average_max_temp;record_min_temp;record_max_temp;record_min_temp_year;record_max_temp_year;actual_precipitation;average_precipitation;record_precipitation
Cardinalities;Num rows;365,0000;365,0000;365,0000;365,0000;365,0000;365,0000;365,0000;365,0000;365,0000;365,0000;365,0000;365,0000;365,0000
Cardinalities;# Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;% Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;Cardinality;3,0000;57,0000;59,0000;61,0000;41,0000;43,0000;54,0000;46,0000;72,0000;92,0000;20,0000;6,0000;158,0000
Cardinalities;Uniqueness;0,8219;15,6164;16,1644;16,7123;11,2329;11,7808;14,7945;12,6027;19,7260;25,2055;5,4795;1,6438;43,2877
Data type info;Data type;String;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric
Data type info;Minimum;8,0000;41,0000;31,0000;46,0000;44,0000;65,0000;16,0000;77,0000;1 895,0000;1 896,0000;0,0000;0,0000;0,0100
Data type info;Maximum;10,0000;105,0000;94,0000;116,0000;84,0000;107,0000;70,0000;122,0000;1 990,0000;2 015,0000;3,2900;0,0500;3,2900
Data type info;Average;8,0000;77,0000;65,0000;88,0000;63,0000;86,0000;43,0000;100,0000;1 934,0000;1 976,0000;0,0277;0,0220;0,7705
Data type info;Median;9,0000;77,0000;65,0000;89,0000;62,0000;87,0000;40,0000;102,0000;1 929,0000;1 985,0000;0,0000;0,0200;0,7100
Data type info;# Digits;0,0000;3,0000;2,0000;3,0000;2,0000;3,0000;2,0000;3,0000;4,0000;4,0000;1,0000;0,0000;1,0000
Data type info;# Decimals;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2,0000;2,0000;2,0000
Histogram;Number of classes;10,0000;10,0000;10,0000;10,0000;10,0000;10,0000;10,0000;10,0000;10,0000;10,0000;10,0000;10,0000;10,0000
Histogram;Class range;0,2000;6,4000;6,3000;7,0000;4,0000;4,2000;5,4000;4,5000;9,5000;11,9000;0,3290;0,0050;0,3280
Histogram;Values;[0, 81, 65, 219, 0, 0, 0, 0, 0, 0];[44, 52, 50, 6, 34, 18, 51, 4, 60, 46];[9, 32, 5, 52, 47, 63, 36, 14, 49, 58];[2, 55, 25, 53, 31, 29, 62, 47, 58, 3];[37, 23, 26, 79, 68, 25, 22, 24, 27, 34];[33, 69, 23, 25, 90, 23, 24, 28, 26, 24];[6, 34, 32, 24, 45, 73, 32, 39, 36, 44];[71, 39, 13, 30, 44, 35, 33, 38, 32, 30];[42, 68, 2, 15, 6, 83, 37, 26, 31, 55];[34, 53, 18, 45, 20, 8, 66, 16, 92, 13];[1, 358, 0, 0, 4, 1, 0, 1, 0, 0];[0, 56, 120, 47, 38, 0, 0, 101, 0, 3];[3, 91, 83, 55, 5, 25, 4, 89, 1, 9]
Dependencies;isCandidateKey;false;false;false;false;false;false;false;false;false;false;false;false;false
